"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"352454385013506048","","","352445797046050817","82789731","2013-07-03 15:50:48 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @nenamounstro: Evo Morales as Tom Hanks in The Terminal. http://t.co/QoSJOEpyqk","http://twitter.com/nenamounstro/status/352445797046050817/photo/1"
"352454031718879232","","","","","2013-07-03 15:49:24 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Necesito obtener un certificado digital de firma electronica en el BCE, cual es la diferencia entre token y archivo?"
"352434023307554817","352421588349628416","13841712","","","2013-07-03 14:29:53 +0000","web","@jandrade por qué? que pasará luego de que pase la ley de inmigración?"
"352433358275481600","352422527789830144","13841712","","","2013-07-03 14:27:15 +0000","web","@jandrade aceptan trabajo a distancia? jeje"
"352407638371348480","","","352348039983276032","8414132","2013-07-03 12:45:03 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @robertnyman: ""Keep building new tools, technologies &amp; platforms to empower independence, interoperability... ""- http://t.co/C91PZ1Jrbj …","http://www.marco.org/2013/07/03/lockdown"
"352405945801900032","","","352362131519307776","8414132","2013-07-03 12:38:19 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @robertnyman: AltaVista, the place where the first Internet contact was for many, is now ending - http://t.co/SvxmeyZbzC, http://t.co/mj…","http://bits.blogs.nytimes.com/2013/07/01/altavista-whats-that/"
"352172365817450496","","","","","2013-07-02 21:10:09 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Limits | Heroku Dev Center http://t.co/YBUjSlfmLe","http://buff.ly/1cNN6c2"
"352040547352973313","","","352028628348977152","8414132","2013-07-02 12:26:21 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @robertnyman: The launch of Firefox OS – my thoughts and some history: http://t.co/bXBWaMBm3o","http://robertnyman.com/2013/07/02/the-launch-of-firefox-os-my-thoughts-and-some-history/"
"352038964737220608","","","352030536073625600","101025176","2013-07-02 12:20:04 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @Paul_Kinlan: Dear any site that says you need native apps to ""easily tap into native OS capabilities such as GPS, video and audio"", do …"
"352037953436008449","","","","","2013-07-02 12:16:03 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","The App Engine Way - Ben Kamens http://t.co/v4qDdiqa68","http://buff.ly/11V3R3v"
"351875894429753344","","","351756911856717824","781730","2013-07-02 01:32:05 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","RT @Adora: Here's what we did to the stairs at Telefonica's flagship store in Madrid:  http://t.co/0yPFMDqNu4 #FirefoxOS","http://bzz.io/1n0"
"351840428074598400","","","351758759044972544","58708498","2013-07-01 23:11:09 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","RT @angelinamagnum: “The #FirefoxOS phones don’t have as good of hardware as X!” said by people missing the point with what we’re trying to…"
"351839063730438145","","","","","2013-07-01 23:05:44 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","I liked a @YouTube video http://t.co/gRVXPOPkuX AngularJS Fundamentals In 60-ish Minutes","http://youtu.be/i9MHigUZKEM?a"
"351809979826704384","","","","","2013-07-01 21:10:10 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Código Postal Ecuador http://t.co/nD2gdZ8OGH","http://buff.ly/1cIMy7j"
"351791649636102146","","","351786526578978816","13251382","2013-07-01 19:57:19 +0000","web","RT @mattmight: Programmers, it's July! Focus on security. http://t.co/AKFA3XPPcC","http://matt.might.net/articles/programmers-resolutions/"
"351777622440677376","","","","","2013-07-01 19:01:35 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","TheFox is out of the bag #FirefoxOS | Christian Heilmann | http://t.co/h67YahdPXW","http://buff.ly/18qXBEK"
"351752895621890049","","","351750714135035904","41456770","2013-07-01 17:23:20 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","RT @amateurhuman: Was Google Reader written on Ruby 1.8.7 and they didn’t want to upgrade it?"
"351750073119539200","","","","","2013-07-01 17:12:07 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","TheFox is out of the bag #FirefoxOS | Christian Heilmann | http://t.co/ATrFeYsaRd","http://buff.ly/1cIdnbv"
